"Vehicle Name","Vehicle Price Range","Battery Capacity","Range (Jarak Tempuh)","Power/Horsepower","Seating Capacity","Charging time","Source URL","Is EV"
"GAC Aion Y Plus","Rp 419 - 479 Juta","50.6 - 63.2 kWh","410 - 490 km","201 hp","5 Kursi","45 Menit","https://www.oto.com/mobil-baru/gac/aion-y-plus",TRUE
"Lexus RZ","Rp 26,6 - 31,6 Juta","71.4 kWh","400 km","308 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/lexus/rz",TRUE
"Volkswagen ID Buzz","Rp 1,495 - 1,55 Milyar","77 kWh","400 - 480 km","204 - 281 hp","5 - 6 Kursi","30 Menit","https://www.oto.com/mobil-baru/volkswagen/id-buzz",TRUE
"Tesla Model S","Rp 26,6 - 31,6 Juta","100 kWh","600 - 634 km","670 - 1020 hp","5 Kursi","15 Menit (Supercharger)","https://www.oto.com/mobil-baru/tesla/model-s",TRUE
"GAC Aion Hyptec HT","Rp 691 - 843,5 Juta","83 kWh","600 km","335 hp","5 Kursi","15 Menit","https://www.oto.com/mobil-baru/gac/aion-hyptec-ht",TRUE
"Tesla Model 3","Rp 26,6 - 31,6 Juta","54 - 79.5 kWh","513 - 629 km","283 - 490 hp","5 Kursi","15 Menit (Supercharger)","https://www.oto.com/mobil-baru/tesla/model-3",TRUE
"Neta X","Rp 428 - 448 Juta","63.56 kWh","480 km","161 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/neta/x",TRUE
"MG Cyberster","Rp 1,705 Milyar","77 kWh","503 - 580 km","537 hp","2 Kursi","26 Menit","https://www.oto.com/mobil-baru/mg/cyberster",TRUE
"VinFast VF 6","Rp 385 - 439,6 Juta","59.6 kWh","399 km","201 hp","5 Kursi","24 Menit","https://www.oto.com/mobil-baru/vinfast/vf-6",TRUE
"BMW i5","Rp 2,225 - 2,83 Milyar","81.2 kWh","516 - 582 km","340 - 601 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/bmw/i5",TRUE
"Kia EV9","Rp 1,568 - 1,985 Milyar","99.8 kWh","497 km","380 hp","7 Kursi","24 Menit","https://www.oto.com/mobil-baru/kia/ev9",TRUE
"Lexus UX","Rp 26,6 - 31,6 Juta","54.35 kWh","300 - 315 km","181 - 201 hp","5 Kursi","80 Menit","https://www.oto.com/mobil-baru/lexus/ux",TRUE
"Mercedes Benz EQS","Rp 3,135 - 4,11 Milyar","107.8 kWh","770 km","333 hp","5 Kursi","31 Menit","https://www.oto.com/mobil-baru/mercedes-benz/eqs",TRUE
"Nissan Leaf","Rp 740 Juta","40 kWh","311 km","148 hp","5 Kursi","60 Menit","https://www.oto.com/mobil-baru/nissan/leaf",TRUE
"GWM Ora 03 BEV","Rp 379 Juta","47.7 kWh","400 km","104 hp","5 Kursi","45 Menit","https://www.oto.com/mobil-baru/gwm/ora-03-bev",TRUE
"BMW iX","Rp 2,628 Milyar","76.6 - 111.5 kWh","372 - 425 km","408 hp","5 Kursi","35 Menit","https://www.oto.com/mobil-baru/bmw/ix",TRUE
"Honda e:N1","Rp 26,6 - 31,6 Juta","68.8 kWh","412 km","201 hp","5 Kursi","45 Menit","https://www.oto.com/mobil-baru/honda/en1",TRUE
"Toyota bZ4X","Rp 1,19 Milyar","71.4 kWh","500 km","201 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/toyota/bz4x",TRUE
"BMW i7","Rp 3,415 Milyar","101.7 kWh","625 km","544 hp","5 Kursi","34 Menit","https://www.oto.com/mobil-baru/bmw/i7",TRUE
"BMW iX1","Rp 1,379 Milyar","64.7 kWh","438 km","313 hp","5 Kursi","29 Menit","https://www.oto.com/mobil-baru/bmw/ix1",TRUE
"BMW i5 Touring","Rp 2,275 Milyar","81.2 kWh","506 km","340 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/bmw/i5-touring",TRUE
"Mitsubishi L100 EV","Rp 323,3 Juta","20.1 kWh","180 km","41 hp","2 Kursi","42 Menit","https://www.oto.com/mobil-baru/mitsubishi/l100-ev",TRUE
"Volvo EX30","Rp 930 Juta - 1,1 Milyar","49 - 66 kWh","476 km","272 hp","5 Kursi","26 Menit","https://www.oto.com/mobil-baru/volvo/ex30",TRUE
"VinFast VF 7","Rp 499 - 599 Juta","75.3 kWh","431 km","201 - 348 hp","5 Kursi","28 Menit","https://www.oto.com/mobil-baru/vinfast/vf-7",TRUE
"Hyundai Ioniq 5 N","Rp 1,5 Milyar","84 kWh","448 km","641 hp","5 Kursi","18 Menit","https://www.oto.com/mobil-baru/hyundai/ioniq-5-n",TRUE
